label_id,class,precision,recall,f1-score,support,FPR
0,BENIGN,0.9826979224363729,0.9992649375196891,0.9909121890264683,209506.0,0.0865806966856928
1,DoS,0.9972935586696338,0.8558893362238051,0.9211966334268492,19374.0,0.00019337788186760062
2,DDoS,0.9995975531229878,0.9701585813608312,0.9846580773042617,12801.0,2.089619605646988e-05
3,Brute Force,0.9713340683572216,0.9628415300546448,0.9670691547749726,915.0,0.00010351802009842175
4,Web Attack,0.0,0.0,0.0,215.0,3.970396722040466e-05
5,Infiltration,0.0,0.0,0.0,4.0,0.0
6,Botnet,0.8266666666666667,0.31794871794871793,0.45925925925925926,195.0,5.161105905893189e-05
7,Port Scan,0.9891086908201823,0.9813650898665784,0.9852216748768473,9069.0,0.00040327558536685734
