configuration,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Day20_Original,3,0.1,20,0.8,0.8,0.9845960988420297,0.7208373075091331,0.6359335241217833,0.6635396235835823,0.9838928352252377,0.9845960988420297,0.9836730544765556
Config_A,4,0.05,100,0.8,0.8,0.9965923381162255,0.9888445455816557,0.7662321705390014,0.8127171605214303,0.9965804144246917,0.9965923381162255,0.9962085620469412
Config_B,6,0.05,200,0.8,0.8,0.9984528659666215,0.9647641823994659,0.8249924092874255,0.8743213704418897,0.9983617818661217,0.9984528659666215,0.9983371592926158
Config_C,6,0.03,300,0.8,0.8,0.9983695587494397,0.9683469168544736,0.8178752001006173,0.8691772014560566,0.9982804014919443,0.9983695587494397,0.9982320738975871
