metric,value
accuracy,0.9845960988420297
macro_precision,0.7208373075091331
macro_recall,0.6359335241217833
macro_f1,0.6635396235835823
weighted_precision,0.9838928352252377
weighted_recall,0.9845960988420297
weighted_f1,0.9836730544765556
