class,TP,FP,TN,FN,FPR,Recall,Precision,F1
BENIGN,209331,209,42364,175,0.004909214760528973,0.9991647017269195,0.9990025770735897,0.9990836328231267
DoS,19359,46,232659,15,0.00019767516813132507,0.9992257664911738,0.9976294769389332,0.9984269836767322
DDoS,12799,7,239271,2,2.9254674479057832e-05,0.9998437622060776,0.9994533812275496,0.9996485336040927
Brute Force,911,0,251164,4,0.0,0.9956284153005465,1.0,0.9978094194961665
Web Attack,88,21,251843,127,8.337833116284979e-05,0.40930232558139534,0.8073394495412844,0.5432098765432098
Infiltration,2,0,252075,2,0.0,0.5,1.0,0.6666666666666666
Botnet,136,11,251873,59,4.3670896126788524e-05,0.6974358974358974,0.9251700680272109,0.7953216374269007
Port Scan,9063,96,242914,6,0.0003950454713797786,0.9993384055573933,0.9895185063871602,0.9944042132982226
