metric,day23_value,day24_value,difference,reproduced
accuracy,0.9984528659666216,0.9984528659666215,-1.1102230246251565e-16,True
macro_precision,0.964764182399466,0.9647641823994659,-1.1102230246251565e-16,True
macro_recall,0.8249924092874255,0.8249924092874255,0.0,True
macro_f1,0.8743213704418897,0.8743213704418897,0.0,True
weighted_precision,0.9983617818661216,0.9983617818661217,1.1102230246251565e-16,True
weighted_recall,0.9984528659666216,0.9984528659666215,-1.1102230246251565e-16,True
weighted_f1,0.9983371592926158,0.9983371592926158,0.0,True
